username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Pensando2057 exodoveliz;2013-07-28 09:31;0;0;"@exodoveliz Amen!Debemos seguirnos todos los que tenemos conciencia para arreciar el combate y profundizar los cambios! #Chavezvive !!!";;@exodoveliz;#Chavezvive;"361486694274449408";https://twitter.com/Pensando2057/status/361486694274449408
Pensando2057 EGMorenoR;2013-07-28 09:29;1;0;"@EGMorenor @abefantasma Saludos Esio... #ChavezVive !";;@EGMorenor @abefantasma;#ChavezVive;"361486172050030592";https://twitter.com/Pensando2057/status/361486172050030592
corpoelec83;2013-07-28 09:26;0;0;"@Martikamattey : Feliz cumple en el cielo mi comandant eterno. Hoy muchos d los q te odiaron reconocen tu liderazgo y gallardia. #chavezvive";;@Martikamattey;#chavezvive;"361485230101639169";https://twitter.com/corpoelec83/status/361485230101639169
GuayanaChavist;2013-07-28 09:25;0;0;"#cvg globos al aire en honor a mi comandante eterno #bolivarpotenciarevolucionaria #chavezvive #laluchasigue";;;#cvg #bolivarpotenciarevolucionaria #chavezvive #laluchasigue;"361485167627481088";https://twitter.com/GuayanaChavist/status/361485167627481088
gabixoxo;2013-07-28 09:23;0;0;"#ChavezVive";;;#ChavezVive;"361484451856908289";https://twitter.com/gabixoxo/status/361484451856908289
RoliberioDebeta;2013-07-28 09:21;0;0;"gracias por sembrarte en nuestra conciencia #ElPuebloCelebraTus59añosCHAVEZ #FelizCumpleañosComandanteEterno #ChávezVive por siempre.";;;#ElPuebloCelebraTus59a #FelizCumplea #Ch;"361484157567766529";https://twitter.com/RoliberioDebeta/status/361484157567766529
Martikamattey;2013-07-28 09:20;0;0;"Feliz cumple en el cielo mi comandant eterno. Hoy muchos d los q te odiaron reconocen tu liderazgo y gallardia. #chavezvive";;;#chavezvive;"361483917590659072";https://twitter.com/Martikamattey/status/361483917590659072
Johan_Aurinegro;2013-07-28 09:17;0;0;"Tropa #FelizCumpleanosComandanteChavez Hasta la Victoria Siempre! #ChávezVive #LaLuchaSigue @jackson_english @LuisAngBarRa @luisjbarrientos";;@jackson_english @LuisAngBarRa @luisjbarrientos;#FelizCumpleanosComandanteChavez #Ch #LaLuchaSigue;"361483161932275713";https://twitter.com/Johan_Aurinegro/status/361483161932275713
arrierodigital;2013-07-28 09:05;0;0;"Hoy Chavez cumple 59 años, #Chavezvive #Cuba #Venezuela";;;#Chavezvive #Cuba #Venezuela;"361480152762425344";https://twitter.com/arrierodigital/status/361480152762425344
ZEREPZAID;2013-07-28 09:00;0;1;"#CHAVEZviveEnElPueblo #A59AñosDeTuNatalicioChavez #ElPuebloCelebraraTus59añosCHAVEZ FELIZ CUMPLEAÑOS #ChavezVive pic.twitter.com/65kwO7UwJQ";;;#CHAVEZviveEnElPueblo #A59A #ElPuebloCelebraraTus59a #ChavezVive;"361478822312435712";https://twitter.com/ZEREPZAID/status/361478822312435712
KeylaLMejia;2013-07-28 08:59;0;0;"A mi eterno Gigante #FelizCumpleañosComandanteChávez te incrustaste en los tuétanos de los venezolanos. #ChávezVive pic.twitter.com/tllyx9yZB8";;;#FelizCumplea #Ch;"361478584625397761";https://twitter.com/KeylaLMejia/status/361478584625397761
luisenca23;2013-07-28 08:57;0;0;"Venezolanos felicitan a Hugo Chávez en su cumpleaños 59 - Con etiquetas como #ChavezSigueCumpliendo , #ChavezVive ... http:// ow.ly/2yHJrQ";;;#ChavezSigueCumpliendo #ChavezVive;"361477906632937476";https://twitter.com/luisenca23/status/361477906632937476
mirelyrh;2013-07-28 08:55;0;0;"Venezolanos felicitan a Hugo Chávez en su cumpleaños 59 - Con etiquetas como #ChavezSigueCumpliendo , #ChavezVive ... http:// ow.ly/2yHKEw";;;#ChavezSigueCumpliendo #ChavezVive;"361477412879474689";https://twitter.com/mirelyrh/status/361477412879474689
siemprecubano;2013-07-28 08:52;0;0;"#ChávezVive #ChávezVive #ChávezVive #ChávezVive";;;#Ch #Ch #Ch #Ch;"361476849974517762";https://twitter.com/siemprecubano/status/361476849974517762
